Threshold,True_Negative_TN,False_Positive_FP,False_Negative_FN,True_Positive_TP,Accuracy,Precision,Recall,F1_Score,Specificity
0.05,1249,220,3,961,0.908344,0.813717,0.996888,0.896037,0.850238
0.1,1323,146,3,961,0.938759,0.868112,0.996888,0.928054,0.900613
0.15,1357,112,4,960,0.952322,0.895522,0.995851,0.943026,0.923758
0.2,1386,83,4,960,0.964242,0.920422,0.995851,0.956652,0.943499
0.25,1401,68,6,958,0.969585,0.933723,0.993776,0.962814,0.95371
0.3,1407,62,7,957,0.97164,0.939156,0.992739,0.965204,0.957794
0.35,1416,53,10,954,0.974106,0.947368,0.989627,0.968037,0.963921
0.4,1428,41,10,954,0.979038,0.958794,0.989627,0.973966,0.97209
0.45,1434,35,10,954,0.981504,0.964611,0.989627,0.976959,0.976174
0.5,1436,33,10,954,0.982326,0.966565,0.989627,0.97796,0.977536
0.55,1442,27,11,953,0.984381,0.972449,0.988589,0.980453,0.98162
0.6,1445,24,15,949,0.98397,0.975334,0.98444,0.979866,0.983662
0.65,1446,23,18,946,0.983148,0.976264,0.981328,0.978789,0.984343
0.7,1449,20,23,941,0.982326,0.979188,0.976141,0.977662,0.986385
0.75,1455,14,25,939,0.98397,0.98531,0.974066,0.979656,0.99047
0.8,1460,9,26,938,0.985614,0.990496,0.973029,0.981685,0.993873
0.85,1464,5,31,933,0.985203,0.99467,0.967842,0.981073,0.996596
0.9,1466,3,40,924,0.982326,0.996764,0.958506,0.977261,0.997958
0.95,1469,0,51,913,0.979038,1.0,0.947095,0.972829,1.0
