Split_Name,Global_Index,Compound_Name,True_Label,Predicted_Probability,Num_Peaks,SMILES
train,1898,2-(4-(4-METHOXYPHENYL)-6-PHENYL-2-PYRIMIDINYLAMINO)BENZOIC ACID,1,0.013558,15,
train,3005,Benzoylecgonine,1,0.013769,26,
train,772,5-Fluoro-ethylbenzyl-PICA,1,0.04412,20,
train,1419,01-09,1,0.143123,46,
train,2269,Ocfentanil-d5,1,0.212332,32,
train,3046,Alprazolam,1,0.243778,46,
train,1294,adamantyl-thpinaca,1,0.267259,132,O=C(NC1C2CC3CC(C2)CC1C3)c1nn(CC2CCOCC2)c2ccccc12
train,437,31-05,1,0.316675,71,CC(C)(NC(=O)c1nn(CCCCC#N)c2ccccc12)c1ccccc1
train,115,jwh-018,1,0.332004,108,CCCCCn1cc(C(=O)c2cccc3ccccc23)c2ccccc21
train,1713,"4-METHOXYCARBONYL-5,6-DIPHENYL-2-(PARA-TOLYL)PERHYDROPYRROLO(3,4-C)PYRROLE-1,3-DIONE(3A,4-CIS-6,6A-TRANS)",1,0.337679,5,
