Threshold,True_Negative_TN,False_Positive_FP,False_Negative_FN,True_Positive_TP,Accuracy,Precision,Recall,F1_Score,Specificity
0.05,1783,314,6,1350,0.907327,0.811298,0.995575,0.89404,0.850262
0.1,1900,197,14,1342,0.938894,0.871995,0.989676,0.927116,0.906056
0.15,1946,151,16,1340,0.951636,0.898726,0.988201,0.941342,0.927992
0.2,1982,115,16,1340,0.962062,0.920962,0.988201,0.953397,0.94516
0.25,2005,92,18,1338,0.968144,0.935664,0.986726,0.960517,0.956128
0.3,2011,86,20,1336,0.969302,0.939522,0.985251,0.961843,0.958989
0.35,2024,73,23,1333,0.972198,0.94808,0.983038,0.965243,0.965188
0.4,2037,60,23,1333,0.975963,0.956927,0.983038,0.969807,0.971388
0.45,2047,50,26,1330,0.97799,0.963768,0.980826,0.972222,0.976156
0.5,2050,47,28,1328,0.97828,0.965818,0.979351,0.972538,0.977587
0.55,2056,41,31,1325,0.979149,0.969985,0.977139,0.973549,0.980448
0.6,2059,38,37,1319,0.97828,0.971997,0.972714,0.972355,0.981879
0.65,2063,34,44,1312,0.977411,0.97474,0.967552,0.971132,0.983786
0.7,2069,28,49,1307,0.977701,0.979026,0.963864,0.971386,0.986648
0.75,2075,22,54,1302,0.97799,0.983384,0.960177,0.971642,0.989509
0.8,2081,16,56,1300,0.979149,0.987842,0.958702,0.973054,0.99237
0.85,2086,11,62,1294,0.978859,0.991571,0.954277,0.972567,0.994754
0.9,2091,6,77,1279,0.975963,0.995331,0.943215,0.968573,0.997139
0.95,2096,1,89,1267,0.973936,0.999211,0.934366,0.965701,0.999523
